"","totalDelay"
"1613",NA
"1614",4.69041575982343
"1615",9.8488578017961
"1616",NA
"1617",4.35889894354067
"1618",NA
"1619",NA
"1620",6.08276253029822
"1621",4
"1622",NA
"1623",NA
"1624",NA
"1625",NA
"1626",NA
"1627",NA
"1628",NA
"1629",NA
"1630",5.8309518948453
"1631",NA
"1632",4
"1633",NA
"1634",NA
"1635",3.3166247903554
"1636",4.35889894354067
"1637",NA
"1638",NA
"1639",NA
"1640",NA
"1641",11.9582607431014
"1642",3.3166247903554
"1643",3.60555127546399
"1644",NA
"1645",NA
"1646",NA
"1647",5.74456264653803
"1648",NA
"1649",10.3440804327886
"1650",NA
"1651",NA
"1652",5.09901951359278
"1653",NA
"1654",2
"1655",1.73205080756888
"1656",NA
"1657",2.23606797749979
"1658",NA
"1659",7.34846922834953
"1660",NA
"1661",8.48528137423857
"1662",NA
"1663",0
"1664",NA
"1665",NA
"1666",NA
"1667",NA
"1668",6.78232998312527
"1669",12.6885775404495
"1670",NA
"1671",NA
"1672",3.3166247903554
"1673",3.3166247903554
"1674",NA
"1675",1.73205080756888
"1676",18.6279360101972
"1677",12.7279220613579
"1678",2
"1679",NA
"1680",NA
"1681",3.3166247903554
"1682",1
"1683",3.3166247903554
"1684",NA
"1685",NA
"1686",5.3851648071345
"1687",2.23606797749979
"1688",2
"1689",NA
"1690",NA
"1691",1.73205080756888
"1692",4.58257569495584
"1693",NA
"1694",NA
"1695",NA
"1696",4
"1697",2
"1698",NA
"1699",NA
"1700",0
"1701",2
"1702",2
"1703",5.3851648071345
"1704",NA
"1705",NA
"1706",14.6287388383278
"1707",2
"1708",NA
"1709",NA
"1710",NA
"1711",NA
"1712",NA
"1713",NA
"1714",10.9544511501033
"1715",7
"1716",4.47213595499958
"1717",NA
"1718",6.08276253029822
"1719",NA
"1720",NA
"1721",1.73205080756888
"1722",NA
"1723",NA
"1724",5.65685424949238
